 0xb9f02d93,0x6f56ac62,0xef2373e7,0xf2fb6dfe, 0xa70efe75,0x13d1ae14,0x586c8096,0xa46629de,
 0xb7e7a5fc,0x48d59abb,0xd550e99b,0xcd0596f5, 0x0ce8825f,0x4863f4dd,0x1e88cb6a,0xeba51a08,
 0x4abd00c6,0x0baff614,0x9004c2cd,0x61d1582b, 0xc7800d1f,0x33c1b627,0x5050c51a,0x80051039,
 0xd7c9d228,0xcb4a7212,0x0ea16c09,0x2a500031, 0xec93bd3e,0xd3d43bab,0xa7978401,0x4a56a259,
 0x5e0f9062,0x8ccd678d,0xcfda4f61,0xe26989c3, 0xfa83a0c1,0x50993608,0x78ff1a29,0xff55b963,
 0xdaf0ad7b,0x6d0a3f88,0xc953e0b7,0xb5e2be67, 0xc3b355ad,0x8f5792e6,0xfbbb1cbf,0x62ac9a08,
 0x78ea6163,0xc3a77245,0x81c291c3,0x5606d871, 0x2f174cfa,0x96b083cf,0x3f9055dd,0xb3deab6a,
 0xe815106e,0x102a3094,0x42020eec,0x7270de5b, 0x2cc774b4,0xe06135fd,0x291ca274,0x8bdd610f,
 0xfe5f3064,0xa6b8e70e,0x2aee3eeb,0x70edce2d, 0xa963ff7d,0x3f2f2e46,0x20a77b88,0xf4f20bfe,
 0x8b09e094,0xf0cd382b,0x54b72587,0xe6618a71, 0xa6bcd79a,0x9f9e4688,0xb209cb7f,0x4451a9b6,
 0x01ccb464,0xabb8fce1,0x0a39c3c8,0x3c31d32e, 0x555ae2a3,0x9947e546,0x0e1129f8,0x7809eabe,
 0xbd19f9ac,0xd20ea46b,0xc27814d3,0x87b0c7f7, 0xc17b3362,0x2b960f40,0xd26c624d,0x1f037b03,
 0x6c0b7304,0x1cda6e53,0xc2a46527,0x513fa15d, 0x41614444,0xa20356e0,0x8e8a6ccf,0xeaf7adce,
 0x6dc50a26,0x4db2ccca,0x8bd44032,0x08bd535e, 0x38c10e65,0x83597954,0x5149ff31,0x04a0a199,
 0x060b5313,0x09da49d8,0xb5a9195b,0x7d84f26f, 0xc202a218,0xdedf85a0,0xf8b7cd98,0xd4f9961b,
 0x82370287,0xb9ca0ee2,0x26a600fd,0x62c04a5e, 0x805ce13a,0xd21555aa,0xf52cef79,0x599e553b,
 0xa0a9cdc6,0xfa03890f,0x67b16af2,0xcc702777, 0xb02c41d5,0xed2fa383,0xfb2f8b61,0xf156c90d,
 0xf95273e4,0xfdd72adf,0x38c3f10e,0xa2fa4cee, 0x49da6aa1,0xfa3b8237,0x70ee2220,0x3cc88fd7,
 0xbd29fb9e,0x6fc399ca,0xbd078e45,0xbe827ea8, 0xef7a7c36,0x965bd077,0x9ee9f356,0xa0e36643,
 0x756bb069,0x0ae02b51,0x20856dd5,0x71635e70, 0xa1c46de2,0x0873e4a4,0xa2a41541,0x93886a53,
 0xb781869e,0x835e40e6,0x1f55f69e,0xfbdd6d9f, 0x623b8e92,0xb54f8bb5,0x0f6e1bf6,0x3379d309,
 0x2773caf6,0x7931e8d9,0x48957808,0x3732a06d, 0x02530ff3,0x119caf41,0xbbce6ca8,0xf50724ed,
 0xfbc30eb5,0x6e2ec6d8,0x73e6a9b5,0xb552e0f9, 0x37a2cd50,0xdfcef7fc,0xd7154bbd,0x7eca46c5,
 0x5564bc9c,0x7eddde7c,0xd719a721,0xf1b615a3, 0xbdde12ee,0xd5b0e7f3,0xc2db331b,0x05ce1378,
 0x2bb829d6,0xb50fcf7b,0x975d787c,0x691bb5bd, 0xfa525cd5,0x7131a501,0xfbf04a2d,0xb8dc1147,
